    INFO 2022-07-08 10:05:32,899 Socket opened! <__main__.MyClient object at 0x7f1171d7b190> 
    INFO 2022-07-08 10:05:32,899 Start transcribing.... 
    INFO 2022-07-08 10:05:34,321 尤其 
    INFO 2022-07-08 10:05:34,416 有趣 的 
    INFO 2022-07-08 10:05:34,542 游戏 的 
    INFO 2022-07-08 10:05:34,652 you see the whole 
    INFO 2022-07-08 10:05:34,864 you see the whole of 
    INFO 2022-07-08 10:05:35,325 you see the whole of my 
    INFO 2022-07-08 10:26:30,155 Socket opened! <__main__.MyClient object at 0x7f3c4b707190> 
    INFO 2022-07-08 10:26:30,156 Start transcribing.... 
    INFO 2022-07-08 10:26:31,824 尤其 
    INFO 2022-07-08 10:26:31,918 有趣 的 
    INFO 2022-07-08 10:26:32,000 游戏 的 
    INFO 2022-07-08 10:26:32,076 you see the whole 
    INFO 2022-07-08 10:26:32,151 you see the whole of 
    INFO 2022-07-08 10:26:32,469 you see the whole of my 
    INFO 2022-07-08 10:26:32,723 you see the whole of my kind of 
    INFO 2022-07-08 10:26:32,906 you see the whole of my adult life 
    INFO 2022-07-08 10:26:33,728 you see the whole of my adult life 
    INFO 2022-07-08 10:26:39,245 嗯 
    INFO 2022-07-08 10:26:42,887 Socket opened! <__main__.MyClient object at 0x7fb8505f7190> 
    INFO 2022-07-08 10:26:42,889 Start transcribing.... 
    INFO 2022-07-08 10:26:43,945 尤其 
    INFO 2022-07-08 10:26:44,095 有趣 的 
    INFO 2022-07-08 10:26:44,326 游戏 的 
    INFO 2022-07-08 10:26:44,582 you see the whole 
    INFO 2022-07-08 10:26:44,834 you see the whole of 
    INFO 2022-07-08 10:26:45,232 you see the whole of my 
    INFO 2022-07-08 10:26:45,453 you see the whole of my kind of 
    INFO 2022-07-08 10:26:45,640 you see the whole of my adult life 
    INFO 2022-07-08 10:26:46,564 you see the whole of my adult life 
    INFO 2022-07-08 10:26:51,982 嗯 
    INFO 2022-07-08 10:26:53,133 being in 
    INFO 2022-07-08 10:26:53,841 being in malaysia 
    INFO 2022-07-08 10:26:54,162 being in malaysia and 
    INFO 2022-07-08 10:26:54,416 being in malaysia and myanmar 
    INFO 2022-07-08 10:26:54,617 being in malaysia and large 
    INFO 2022-07-08 10:26:54,792 being in malaysia and larger 
    INFO 2022-07-08 10:26:55,554 being in malaysia and larger 
    INFO 2022-07-08 10:26:56,506 就 在 
    INFO 2022-07-08 10:26:56,686 有些 计划 
    INFO 2022-07-08 10:26:56,956 you'll have to you have this 
    INFO 2022-07-08 10:26:57,166 you'll have to you have these two 
    INFO 2022-07-08 10:26:57,672 you'll have to you have these two characters 
    INFO 2022-07-08 10:26:58,352 you'll have to you have these two characters 
    INFO 2022-07-08 10:27:00,490 这 两位 
    INFO 2022-07-08 10:27:01,264 这 两位 一部分 
    INFO 2022-07-08 10:27:01,560 这 两位 一步步 
    INFO 2022-07-08 10:27:02,681 这 两位 一步步 
    INFO 2022-07-08 10:27:04,256 and 
    INFO 2022-07-08 10:27:04,513 elected 
    INFO 2022-07-08 10:27:04,838 elected by 
    INFO 2022-07-08 10:27:05,486 elected by geography 
    INFO 2022-07-08 10:27:06,233 elected by geography 
    INFO 2022-07-08 10:27:08,771 economics 
    INFO 2022-07-08 10:27:09,597 economics 
    INFO 2022-07-08 10:27:11,838 and 
    INFO 2022-07-08 10:27:12,201 他 
    INFO 2022-07-08 10:27:12,456 他 爱 
    INFO 2022-07-08 10:27:12,614 and time is of 
    INFO 2022-07-08 10:27:15,592 Socket opened! <__main__.MyClient object at 0x7f888386f190> 
    INFO 2022-07-08 10:27:15,593 Start transcribing.... 
    INFO 2022-07-08 10:27:16,640 尤其 
    INFO 2022-07-08 10:27:16,802 有趣 的 
    INFO 2022-07-08 10:27:17,052 usually the 
    INFO 2022-07-08 10:27:17,317 usually the whole 
    INFO 2022-07-08 10:27:17,541 usually the whole of 
